leaf1	leaf2	leaf3	leaf4
0.0105721	0.00558015	0.00412201	0.0123995	
0.00616104	0.00833626	0.00351067	0.00448818	
0.00375435	0.00720825	0.0174824	0.00461325	
0.00589228	0.0050301	0.0115579	0.011416	
0.368021	0.297937	0.365283	0.302827	
0.00905608	0.0136395	0.00476073	0.00794235	
0.00637442	0.00520342	0.00260151	0.0130275	
0.0103417	0.00571326	0.00524378	0.00647145	
0.00373963	0.00406586	0.00777346	0.00687843	
0.00636733	0.0111547	0.00674167	0.00337985	
0.00775405	0.0152484	0.00879202	0.00383529	
N/A	N/A	N/A	N/A	
0.0109264	0.00693699	0.0128829	0.00703529	
0.00303841	0.00409851	0.0114091	0.0064596	
0.00823121	0.00476828	0.00546091	0.0081636	
0.00306535	0.00562504	0.00591181	0.00781989	
0.00833897	0.0114008	0.0104117	0.00751107	
0.0183582	0.00436534	0.0364671	0.00464635	
0.00721599	0.0183596	0.0252989	0.00559584	
0.205159	0.189583	0.283067	0.188594	
0.021705	0.0493996	0.0316254	0.0308892	
0.0234193	0.00796061	0.0565051	0.0254033	
0.00364746	0.00127114	0.00756003	0.00497093	
0.0345211	0.0220101	0.0492103	0.0422477	
0.0258409	0.0112053	0.0152729	0.0421379	
0.0296524	0.0116571	0.0188245	0.0306465	
N/A	N/A	N/A	N/A	
0.216572	0.211604	0.175255	0.257478	
0.00354962	0.0104964	0.0157547	0.0134988	
0.0114017	0.0221267	0.0135123	0.0107324	
0.0241936	0.0102269	0.00914855	0.0163817	
0.0116871	0.00491091	0.00425755	0.0030097	
0.00713388	0.00725132	0.00727074	0.00830284	
0.00494293	0.016254	0.00582174	0.0062888	
0.00699309	0.00923419	0.00505383	0.010531	
0.00250574	0.00892998	0.00462714	0.00758459	
0.00482829	0.00776781	0.0178697	0.010873	
0.00766102	0.0356766	0.0115718	0.0499356	
0.0379274	0.00908856	0.0191948	0.0070762	
0.00572256	0.00932839	0.0228163	0.0248316	
0.0318697	0.00638084	0.0237179	0.0047367	
0.0103657	0.0194375	0.00406805	0.0259563	
0.0100587	0.0193145	0.0318462	0.00785623	
0.0292966	0.0039637	0.0121371	0.0351734	
0.00481533	0.00676207	0.0127126	0.0110676	
0.00289231	0.00988122	0.00764733	0.00397204	
0.00386051	0.00330802	0.00238976	0.0104871	
0.00302363	0.0069382	0.00452958	0.0147225	
0.0318029	0.00502881	0.0863898	0.00424985	
0.00456486	0.00670338	0.0712836	0.00912865	
0.0115262	0.0464042	0.0432615	0.0239977	
0.0100384	0.0170801	0.00378843	0.0443221	
0.00771882	0.00796253	0.027842	0.0150559	
0.0304867	0.00995748	0.00942103	0.0064576	
N/A	N/A	N/A	N/A	
0.0361312	0.0491869	0.015134	0.0410013	
0.0104906	0.0053075	0.00749728	0.0119016	
0.00646164	0.0225813	0.0151615	0.00495747	
0.0185183	0.00627614	0.00991622	0.0116636	
0.00859276	0.00497006	0.0125268	0.0331425	
0.0118168	0.0234512	0.0072016	0.00467942	
0.0139676	0.00337115	0.0215286	0.00687888	
0.00923952	0.0403225	0.00951773	0.00528623	
0.00747783	0.0103079	0.00896447	0.00902685	
0.0107208	0.00559506	0.00724865	0.00971026	
0.0392977	0.00835775	0.00362528	0.00551197	
0.0249101	0.0200526	0.0070225	0.0122472	
0.00784257	0.00869426	0.00516552	0.0084818	
0.0047839	0.0103429	0.00280054	0.0071877	
0.003838	0.0086603	0.00870451	0.00796499	
0.0107186	0.00493169	0.00549085	0.0119828	
0.0256814	0.00591597	0.0129485	0.00613421	
0.0270854	0.00921621	0.0143884	0.0127932	
0.0214141	0.00630708	0.00998424	0.0125036	
0.285444	0.185678	0.227304	0.294067	
0.0370675	0.0238269	0.0208552	0.00813124	
0.00521387	0.0129286	0.00355011	0.0092219	
0.00820252	0.0148968	0.00766305	0.0102416	
0.00667759	0.0172073	0.00424859	0.00734976	
