leaf1	leaf2	leaf3	leaf4
0.0045695	0.037999	0.0002405	0.0012025	
0.018759	0.248677	0.124098	0.0012025	
0.0103415	0.227513	0.0654161	0.00865801	
N/A	N/A	N/A	N/A	
0	0	0	0	
0.830928	0.27874	0.111352	0.16835	
0.237374	0.0372775	0.16811	0.26912	
0.025974	0.291486	0.349447	0.100529	
0.226311	0.691919	0.75974	0.886484	
0.492304	0.482684	0.481481	0.405964	
0.689514	0.102694	0.605099	0.563011	
0.505532	0.345358	0.679413	0.277056	
0.92809	0.36556	0.722222	0.455267	
0.698653	0.441799	0.0767196	0.262867	
0.44733	0.003848	0.231842	0.0002405	
0.002405	0.354257	0.0610871	0.500241	
0.613516	0.338865	0.0324675	0.0233285	
0.00673401	0.55267	0.02886	0.708033	
0.284993	0.0579606	0.779461	0.0185185	
0.299904	0.0594036	0.00673401	0.435546	
0.0113035	0.790284	0.211159	0.004329	
0.700577	0.525493	0.193362	0.252285	
0.897306	0.311929	0.448773	0.789803	
0.802549	0.857864	0.936508	0.27874	
0.886003	0.511063	0.732804	0.135402	
0.00697451	0.680856	0	0.760221	
0.728475	0.530063	0	0.35113	
0.233045	0.000962001	0.0012025	0.0276575	
0.301106	0.0892256	0.810486	0.0012025	
0.443723	0.428331	0.013949	0.127706	
0.00889851	0.306157	0.334295	0.545936	
N/A	N/A	N/A	N/A	
0.0031265	0.0002405	0.126263	0.0016835	
0.27874	0.654882	0.463444	0.217172	
0.545695	0.0334295	0.126022	0.687109	
0.0692641	0.563973	0.308802	0.227513	
0.3848	0.685426	0.199615	0.00553151	
0.219817	0.030303	0.488696	0.715007	
0.156085	0.850649	0.0416065	0.517316	
0.345358	0.0016835	0.330207	0.657287	
0.465368	0.287638	0.362674	0.358345	
0.270082	0.626744	0.483165	0.320346	
0.0016835	0.402357	0.825878	0.635161	
0.0233285	0.0502646	0.503848	0.207311	
0.436508	0.378307	0.668591	0.392977	
0.703463	0.285955	0.906686	0.488937	
0.803752	0.380231	0.377104	0.42785	
0.270082	0.689995	0.637326	0.214526	
0.0194805	0.595719	0.185666	0.577201	
0.015392	0.345839	0.144541	0.191198	
0.042809	0.560847	0.304473	0.200577	
0	0	0	0	
0.002886	0.0281385	0.0454545	0.416065	
0.664502	0.185907	0.830928	0.345599	
0.411015	0.130832	0.446609	0.290765	
0.531987	0.0882636	0.760943	0.475469	
0.675565	0.385522	0.454786	0.899471	
0.80279	0.778259	0.354738	0.175806	
0.399711	0.203704	0.333574	0.442039	
0.393218	0.432179	0.0856181	0.688793	
0.025974	0.645262	0.762867	0.0440115	
0.701058	0.047138	0.0002405	0.314334	
0.867244	0.52862	0.580087	0.950457	
0.854738	0.735209	0.032227	0.608225	
0.214767	0.047138	0.225349	0.21164	
0.212843	0.70683	0.875902	0.253487	
0.909572	0.12001	0.146946	0.369168	
0.000962001	0.0238095	0.196248	0.10558	
0.656325	0.800866	0.0454545	0.493025	
0.140452	0.750601	0.47138	0.151756	
0.268639	0.72126	0.186628	0.626744	
0.801587	0.227513	0.148389	0.247475	
0.433862	0.679654	0.354257	0.00937951	
0.0040885	0.0002405	0.001443	0.0483405	
0.346561	0.218615	0.0704666	0.828523	
0.137566	0.265512	0.0016835	0.309764	
0.233285	0.0170755	0.847282	0.00913901	
0.299423	0.161616	0.684464	0.031265	
0.203704	0.0560366	0.594757	0.352814	
0.261183	0.0310245	0.538721	0.0257335	
0.215488	0.708033	0.0945166	0.0793651	
0.0002405	0.488937	0.594757	0.0012025	
0.0702261	0.479076	0.713564	0.284993	
0.373978	0.864358	0.322511	0.827802	
0.0536316	0.403319	0.194084	0.146705	
0.187109	0.568783	0.0560366	0.287157	
0.158009	0.579846	0.741462	0.64911	
0.27874	0.587061	0.251804	0.032227	
0.459596	0.909572	0.337422	0.67773	
0.583213	0.827561	0.691198	0.323713	
0.478836	0.664983	0.320106	0.348244	
0.275373	0.419432	0.0988456	0.00817701	
0.306397	0.102453	0.632756	0.107985	
0	0	0	0	
0.293891	0.191198	0.0913901	0.102694	
0.321789	0.37013	0.309764	0.0865801	
0.48557	0.298461	0.157768	0.580087	
0.878066	0.0281385	0.907407	0.169072	
0.409331	0.032227	0.951419	0.376623	
0.773208	0.00793651	0.295575	0.422078	
0.645743	0.345358	0.159211	0.312169	
0.439153	0.791727	0.933862	0.770082	
N/A	N/A	N/A	N/A	
0.002405	0.0002405	0.144541	0.546176	
0.234728	0.022607	0.236171	0.408129	
0.132035	0.0536316	0.00649351	0.029341	
N/A	N/A	N/A	N/A	
0.12482	0.0002405	0.0002405	0.0440115	
0.517797	0.244348	0.445166	0.558682	
0.47138	0.136604	0.334055	0.226311	
0.132035	0.189514	0.207792	0.925204	
0.124098	0.468735	0.474988	0.393699	
0.338865	0.226311	0.393218	0.16835	
0.216691	0.573112	0.53848	0.126984	
0.298461	0.607744	0.886003	0.381914	
0.537037	0.265272	0.683261	0.139731	
0.538961	0.512266	0.800866	0.284512	
0.45214	0.169072	0.827802	0.203463	
0	0	0	0	
0.0536316	0.00962001	0.219817	0.102453	
0.233526	0.33165	0.126984	0.311207	
0.446609	0.546417	0.484848	0.35089	
0.517797	0.74026	0.185426	0.120731	
0.127225	0.784993	0.21164	0.607985	
0.791967	0.819865	0.639009	0.115921	
0.481241	0.216691	0.402597	0.77417	
0.378307	0.37013	0.840548	0.219577	
N/A	N/A	N/A	N/A	
0.0983646	0.287638	0.511063	0.668591	
0.159692	0.126503	0.28836	0.535354	
0.342713	0.219336	0.505772	0.102934	
0	0	0	0	
0.0911496	0.0002405	0.00817701	0.0372775	
0.010101	0.002405	0.130592	0.0016835	
0.124098	0.100529	0.0016835	0.039442	
0	0	0	0	
0.31746	0.239057	0.301106	0.353776	
0.172439	0.344877	0.564695	0.140933	
0.738817	0.708514	0.53824	0.0613276	
0.696008	0.882395	0.844877	0.457912	
0.520924	0.702501	0.12001	0.363877	
0.599808	0.446368	0.556518	0.583935	
0.656325	0.763107	0.925685	0.184945	
