leaf1	leaf2	leaf3	leaf4
0.0210798	0.0383357	0.0439274	0.0174002	
0.0357624	0.0282708	0.0459716	0.0428932	
0.045214	0.0324194	0.0104257	0.0425084	
0.0366643	0.0405483	0.01924	0.0196849	
0.00157528	0.0018278	0.0016354	0.00194805	
0.0252886	0.0151635	0.0417268	0.0293651	
0.0348725	0.0398629	0.0484608	0.016354	
0.021633	0.0378788	0.0397908	0.0351732	
0.0452862	0.0442761	0.0301828	0.0335618	
0.0349447	0.0204786	0.0339586	0.0463925	
0.0295936	0.0126142	0.0270443	0.0451539	
N/A	N/A	N/A	N/A	
0.0202742	0.033153	0.0161135	0.0328884	
0.047126	0.0441318	0.0195647	0.0352213	
0.0276575	0.0414021	0.0389851	0.0285354	
0.0470659	0.0382155	0.0372775	0.0297379	
0.0272727	0.0199495	0.022126	0.0309283	
0.00960798	0.0430014	0.00330688	0.0424483	
0.0317701	0.00971621	0.00555556	0.0386003	
0.000372775	0.00159933	0.000517076	0.000853776	
0.00727513	0.0021645	0.00396825	0.0041366	
0.00645743	0.0295214	0.00217653	0.00575998	
0.0455748	0.0497956	0.0309764	0.0412338	
0.00349928	0.00719096	0.0022126	0.00282588	
0.00539923	0.0204064	0.0127585	0.00265753	
0.0043771	0.0194925	0.00933141	0.00417268	
N/A	N/A	N/A	N/A	
0.00128668	0.000901876	0.00162338	0.0012987	
0.0458393	0.0221621	0.0121693	0.0153319	
0.0191077	0.00710678	0.0149471	0.021152	
0.00610871	0.0228114	0.025974	0.0116883	
0.0184103	0.0408971	0.0433381	0.0474507	
0.0320827	0.032215	0.0320346	0.0280183	
0.0405724	0.0114839	0.0375902	0.0358826	
0.0326599	0.0252405	0.0405243	0.0217172	
0.0483045	0.0261664	0.0421597	0.0306157	
0.0410293	0.0301708	0.0100289	0.0208874	
0.0299303	0.003367	0.0190957	0.00220058	
0.00318663	0.0256614	0.00904281	0.0327201	
0.0373136	0.0249399	0.00646946	0.00596441	
0.00398028	0.0351732	0.00607263	0.0421236	
0.0215849	0.00900673	0.0440476	0.00548341	
0.0226551	0.00906686	0.00393218	0.0296657	
0.0044252	0.0446008	0.0178451	0.00358345	
0.0410895	0.0337903	0.0164743	0.0204786	
0.047583	0.0235209	0.0306397	0.044733	
0.0447571	0.0466811	0.0487855	0.0218013	
0.0471621	0.0331289	0.0424844	0.0135402	
0.00400433	0.0405724	2.405e-05	0.0438191	
0.0419913	0.0340548	4.81e-05	0.025481	
0.0187831	0.00252525	0.00270563	0.00628908	
0.0227273	0.0106902	0.0449856	0.00263348	
0.0297018	0.0294853	0.00482203	0.0131914	
0.00416065	0.0234007	0.0252646	0.0352092	
N/A	N/A	N/A	N/A	
0.00335498	0.00218855	0.0129389	0.00301828	
0.0212482	0.0392857	0.0312771	0.0184223	
0.0344998	0.00686628	0.0128668	0.0412819	
0.00949976	0.0356421	0.0237975	0.0190476	
0.0265873	0.0407407	0.016847	0.00381193	
0.0182059	0.00646946	0.0323353	0.042304	
0.0144781	0.0464767	0.00722703	0.0335378	
0.0249278	0.0027898	0.024988	0.0398749	
0.0306518	0.0225709	0.0265633	0.0257576	
0.0207311	0.0382636	0.0321429	0.0237975	
0.00305435	0.0281385	0.0455868	0.0388288	
0.00583213	0.00853776	0.0329125	0.0176768	
0.0292328	0.0269	0.0400794	0.027393	
